Designator,Mid X,Mid Y,Rotation,Layer
C1,142.5011,-113.2536,0.0,top
C2,128.2511,-111.7536,270.0,top
C3,121.7511,-99.7536,0.0,top
FAIL,178.6331,-102.7776,0.0,top
H1,176.8561,-119.3086,0.0,top
H2,119.7361,-119.3086,0.0,top
IC1,122.2511,-108.2536,180.0,top
IC2,141.5011,-116.2536,0.0,top
J1,153.0011,-104.7536,0.0,top
J2,135.5011,-113.2536,270.0,top
JP4,129.0011,-118.7536,180.0,top
PAD1,127.5011,-121.7536,0.0,top
PAD2,130.5011,-121.7536,0.0,top
R1,145.5011,-119.2536,0.0,top
R2,145.5011,-117.2536,0.0,top
S2,153.5011,-118.2536,90.0,top
X1,131.5011,-91.2536,0.0,top
X2,163.5011,-91.2536,0.0,top
